variable,mean,sd,ess_bulk,rhat,CI_2_5,CI_5,CI_10,CI_25,CI_75,CI_90,CI_95,CI_97_5,p_positive,model
zme_1[7],0.6996054026416975,0.40602492176555965,9325.070627873865,1.0003165722536218,-0.08417795499999998,0.04161229000000002,0.1858726,0.42329375,0.9677025,1.2204980000000005,1.37004,1.5056797499999972,0.9605,dHe_27
zme_1[8],2.38500462745,0.463915906366358,6239.368289723219,1.0006214091105619,1.52190975,1.6538570000000001,1.79929,2.0631825,2.6932400000000003,2.9889840000000003,3.1722025,3.338341749999997,1,dHe_27
zme_1[9],-0.80328341352,0.31122664775874437,4470.23162683407,1.0006226915984857,-1.44405175,-1.332797,-1.2051329999999998,-1.0096025000000002,-0.59152275,-0.41256339999999997,-0.30858155000000004,-0.21941200000000036,0.0035,dHe_27
zme_1[10],-0.3920759673965735,0.23126486787734862,2977.417771002077,1.0008852804069204,-0.8487469,-0.7773778,-0.6898883000000001,-0.54529725,-0.236501,-0.10004176999999974,-0.018034115000000017,0.05631163999999969,0.04335,dHe_27
zme_1[11],-0.142669371624335,0.22424932876224357,3036.5116321785226,1.000901965368898,-0.59107745,-0.51338515,-0.4303893,-0.2905425,0.007966135,0.14582880000000026,0.22452965,0.2956361999999995,0.2606,dHe_27
zme_1[12],-0.50401151467201,0.37646953712639053,7377.079013935865,1.000328683934443,-1.2790325,-1.1444065,-0.9874612999999999,-0.74718025,-0.250694,-0.033493859999999716,0.09614731999999998,0.20834102499999949,0.0854,dHe_27
zme_1[13],-0.7246058289617249,0.2748896268741956,3493.801954100207,1.0009211089691343,-1.28198075,-1.1859665000000001,-1.080766,-0.9034342500000001,-0.53636925,-0.3759964999999999,-0.27834390000000003,-0.20626190000000097,0.00305,dHe_27
zme_1[14],2.7428873235,0.4668920949842365,4629.861379403016,1.0008825780226027,1.86013475,1.994807,2.15092,2.42129,3.049875,3.352790000000001,3.532749499999999,3.7004067499999995,1,dHe_27
zme_1[15],0.76529266236835,0.35837675681328807,7676.12350283745,1.0005288616256274,0.076853555,0.18570955,0.31047240000000004,0.5223975000000001,1.0020850000000001,1.2260640000000005,1.3649949999999995,1.4877679999999978,0.9853,dHe_27
zme_1[16],-1.18164779835,0.28510722286018103,3087.3402457000843,1.0010001276626528,-1.7572305000000001,-1.6609025,-1.548482,-1.3701975000000002,-0.9900815000000001,-0.8208496999999999,-0.7203573500000002,-0.6335830750000007,0,dHe_27
zme_1[17],-0.7590285747903265,0.7558800403978025,26987.38346049795,1.000468533707834,-2.2446835,-2.0035410000000002,-1.7272909999999997,-1.2661324999999999,-0.2475,0.20640930000000024,0.4818427,0.7226079749999997,0.15635,dHe_27
zme_1[18],-0.61729913622295,0.6469211121385163,19306.635573889205,1.000403612025317,-1.90277725,-1.6774345,-1.441271,-1.0431225,-0.193441,0.19795640000000003,0.445098699999999,0.6660992999999971,0.165,dHe_27
zme_1[19],0.3171674090812275,0.2105276108371818,2927.423237384521,1.0007992876732412,-0.09573585,-0.025271884999999994,0.04680321000000003,0.1758485,0.45921124999999996,0.5863750999999999,0.6640132499999999,0.7325773499999997,0.93465,dHe_27
zme_1[20],-0.150649964484395,0.4250359626418027,10356.869634865263,1.000195787177908,-0.99718555,-0.8558004499999999,-0.6918602,-0.42989625,0.13405324999999998,0.3890185000000004,0.5414920499999996,0.6785954499999998,0.3604,dHe_27
zme_1[21],-0.16850782220127,0.4274753193195037,10341.367171263877,1.0003571329389973,-1.006536,-0.86791835,-0.7177833,-0.45619149999999997,0.11863,0.37501340000000055,0.5274019499999996,0.6658312,0.3484,dHe_27
